,Centar,GaziBaba,Karpos,Lisice,Miladinovci,Mobile,Rektorat,time
82503,,0.5568,2.9599,1.0904,0.3596,,1.0324,10/2/2017 00:00
82504,,0.406,2.8691,0.8352,0.6844,,0.7656,10/2/2017 01:00
82505,,0.3016,1.367,0.7076,0.6728,,0.696,10/2/2017 02:00
82506,,0.2552,0.2593,0.6264,0.6844,,0.6844,10/2/2017 03:00
82507,,0.2436,0.2236,0.6148,0.7424,,0.6032,10/2/2017 04:00
82508,,0.232,0.2301,0.6032,0.7076,,0.5684,10/2/2017 05:00
82509,,0.1392,0.2197,0.7424,0.6148,,0.6264,10/2/2017 06:00
82510,,0.232,0.1258,1.2528,0.6844,,0.6728,10/2/2017 07:00
82511,,0.3016,0.2736,1.9372,0.8932,,0.9744,10/2/2017 08:00
82512,,0.3132,0.2086,1.74,0.8468,,1.1368,10/2/2017 09:00
82513,,0.232,0.2151,0.9976,0.9396,,0.7772,10/2/2017 10:00
82514,,0.174,0.1965,0.5104,0.754,,0.6844,10/2/2017 11:00
82515,,0.1508,0.1314,0.4988,0.9048,,0.6612,10/2/2017 12:00
82516,,0.1392,0.0978,0.58,0.6264,,0.6032,10/2/2017 13:00
82517,,0.0928,0.1035,0.58,0.3132,,0.58,10/2/2017 14:00
82518,,0.0812,0.0884,0.638,0.3132,,0.6264,10/2/2017 15:00
82519,,0.0464,0.0915,0.7656,0.29,,0.6612,10/2/2017 16:00
82520,,0.116,0.1062,1.0324,0.29,,0.812,10/2/2017 17:00
82521,,0.1276,0.1067,0.7308,0.3364,,0.6148,10/2/2017 18:00
82522,,0.1508,0.1529,0.522,0.5568,,0.5104,10/2/2017 19:00
82523,,0.1392,0.161,0.6844,0.3828,,0.4756,10/2/2017 20:00
82524,,0.2552,0.1819,1.0556,0.3016,,0.754,10/2/2017 21:00
82525,,0.2552,0.2725,1.0672,0.348,,0.5568,10/2/2017 22:00
82526,,0.232,0.1795,1.1368,0.3828,,0.5684,10/2/2017 23:00
82527,,0.1856,0.131,1.044,0.522,,0.5336,11/2/2017 00:00
82528,,0.1856,0.1848,0.9048,0.6496,,0.5104,11/2/2017 01:00
82529,,0.232,0.1619,0.7424,0.4176,,0.4872,11/2/2017 02:00
82530,,0.174,0.1413,0.696,0.5916,,0.4408,11/2/2017 03:00
82531,,0.2088,0.1155,0.6844,0.638,,0.4524,11/2/2017 04:00
82532,,0.1856,0.117,0.4872,0.4872,,0.406,11/2/2017 05:00
82533,,0.1392,0.1231,0.4756,0.5916,,0.3364,11/2/2017 06:00
82534,,0.1508,0.1079,0.7192,0.4292,,0.348,11/2/2017 07:00
82535,,0.1624,0.0918,0.8236,0.4756,,0.4524,11/2/2017 08:00
82536,,0.1856,0.0887,0.1392,0.2668,,0.348,11/2/2017 09:00
82537,,0.1044,0.0989,0.2668,0.2436,,0.3364,11/2/2017 10:00
82538,,0.0928,0.1027,0.2552,0.2436,,0.3712,11/2/2017 11:00
82539,,0.0812,0.0993,0.3016,0.2204,,0.3944,11/2/2017 12:00
82540,,0.0812,0.0897,0.3828,0.0696,,0.4756,11/2/2017 13:00
82541,,0.0696,0.0842,0.4872,0.0696,,0.4756,11/2/2017 14:00
82542,,0.0812,0.092,0.5568,0.1972,,0.6148,11/2/2017 15:00
82543,,0.0812,0.1067,0.6496,0.2088,,0.5452,11/2/2017 16:00
82544,,0.1624,0.1818,1.4152,0.2088,,0.638,11/2/2017 17:00
82545,,0.3248,0.3974,3.422,0.1972,,0.9628,11/2/2017 18:00
82546,,0.4872,0.5233,2.9232,0.3016,,1.0324,11/2/2017 19:00
82547,,0.812,0.2896,3.8048,0.3016,,1.4036,11/2/2017 20:00
82548,,0.3712,0.3633,2.1692,,,0.754,11/2/2017 21:00
82549,,0.29,0.2857,1.102,0.4292,,0.4872,11/2/2017 22:00
82550,,0.232,0.2703,1.0904,0.5916,,0.4408,11/2/2017 23:00
82551,,0.1972,0.1622,0.3248,0.3712,,0.3132,12/2/2017 00:00
82552,,0.1856,0.1172,0.2436,0.406,,0.29,12/2/2017 01:00
82553,,0.1624,0.1199,0.232,0.4524,,0.2668,12/2/2017 02:00
82554,,0.1508,0.1043,0.1972,0.3828,,0.2204,12/2/2017 03:00
82555,,0.1508,0.0916,0.2204,0.3132,,0.1856,12/2/2017 04:00
82556,,0.1508,0.0894,0.1624,0.2784,,0.1856,12/2/2017 05:00
82557,,0.1624,0.0889,0.2088,0.3132,,0.1972,12/2/2017 06:00
82558,,0.1624,0.0885,0.2088,0.3016,,0.1972,12/2/2017 07:00
82559,,0.1624,0.0881,0.232,0.3132,,0.2204,12/2/2017 08:00
82560,,0.174,0.0984,0.2668,0.3016,,0.2552,12/2/2017 09:00
82561,,0.1856,0.1214,0.3596,0.2668,,0.3248,12/2/2017 10:00
82562,,0.1856,0.1237,0.2088,0.2436,,0.3828,12/2/2017 11:00
82563,,0.1972,0.146,0.3828,0.2784,,0.464,12/2/2017 12:00
82564,,0.1856,0.1376,0.3944,0.2668,,0.406,12/2/2017 13:00
82565,,0.1972,0.1139,0.4176,0.2552,,0.406,12/2/2017 14:00
82566,,0.1856,0.1226,0.522,0.2552,,0.4408,12/2/2017 15:00
82567,,0.2552,0.1355,0.6148,0.2552,,0.4292,12/2/2017 16:00
82568,,0.29,0.1637,0.9164,0.2784,,0.4988,12/2/2017 17:00
82569,,0.2436,0.2283,0.9628,0.4524,,0.5336,12/2/2017 18:00
82570,,0.3016,0.3222,0.9976,0.4988,,0.58,12/2/2017 19:00
82571,,0.4176,0.2837,1.2992,0.406,,0.7888,12/2/2017 20:00
82572,,0.3596,0.2404,1.1948,0.522,,0.6148,12/2/2017 21:00
82573,,0.3016,0.1902,0.9744,0.5684,,0.5336,12/2/2017 22:00
82574,,0.3016,0.1639,0.754,0.6148,,0.4292,12/2/2017 23:00
82575,,0.1972,0.1622,0.3248,0.3712,,0.3132,12/2/2017 00:00
82576,,0.1856,0.1172,0.2436,0.406,,0.29,12/2/2017 01:00
82577,,0.1624,0.1199,0.232,0.4524,,0.2668,12/2/2017 02:00
82578,,0.1508,0.1043,0.1972,0.3828,,0.2204,12/2/2017 03:00
82579,,0.1508,0.0916,0.2204,0.3132,,0.1856,12/2/2017 04:00
82580,,0.1508,0.0894,0.1624,0.2784,,0.1856,12/2/2017 05:00
82581,,0.1624,0.0889,0.2088,0.3132,,0.1972,12/2/2017 06:00
82582,,0.1624,0.0885,0.2088,0.3016,,0.1972,12/2/2017 07:00
82583,,0.1624,0.0881,0.232,0.3132,,0.2204,12/2/2017 08:00
82584,,0.174,0.0984,0.2668,0.3016,,0.2552,12/2/2017 09:00
82585,,0.1856,0.1214,0.3596,0.2668,,0.3248,12/2/2017 10:00
82586,,0.1856,0.1237,0.2088,0.2436,,0.3828,12/2/2017 11:00
82587,,0.1972,0.146,0.3828,0.2784,,0.464,12/2/2017 12:00
82588,,0.1856,0.1376,0.3944,0.2668,,0.406,12/2/2017 13:00
82589,,0.1972,0.1139,0.4176,0.2552,,0.406,12/2/2017 14:00
82590,,0.1856,0.1226,0.522,0.2552,,0.4408,12/2/2017 15:00
82591,,0.2552,0.1355,0.6148,0.2552,,0.4292,12/2/2017 16:00
82592,,0.29,0.1637,0.9164,0.2784,,0.4988,12/2/2017 17:00
82593,,0.2436,0.2283,0.9628,0.4524,,0.5336,12/2/2017 18:00
82594,,0.3016,0.3222,0.9976,0.4988,,0.58,12/2/2017 19:00
82595,,0.4176,0.2837,1.2992,0.406,,0.7888,12/2/2017 20:00
82596,,0.3596,0.2404,1.1948,0.522,,0.6148,12/2/2017 21:00
82597,,0.3016,0.1902,0.9744,0.5684,,0.5336,12/2/2017 22:00
82598,,0.3016,0.1639,0.754,0.6148,,0.4292,12/2/2017 23:00
82599,,0.232,0.1489,0.6032,0.6148,,0.4176,13/2/2017 00:00
82600,,0.2204,0.1259,0.3944,0.2552,,0.2668,13/2/2017 01:00
82601,,0.232,0.1096,0.3016,0.174,,0.2668,13/2/2017 02:00
82602,,0.2436,0.0983,0.0928,0.0928,,0.2668,13/2/2017 03:00
82603,,0.2552,0.118,0.406,0.0348,,0.2204,13/2/2017 04:00
82604,,0.232,0.1072,0.3132,0.0116,,0.1972,13/2/2017 05:00
82605,,0.232,0.1015,0.3132,,,0.232,13/2/2017 06:00
82606,,0.2552,0.1403,0.5336,0.0464,,0.3596,13/2/2017 07:00
82607,,0.3016,0.2779,0.8584,0.2204,,0.522,13/2/2017 08:00
82608,,0.29,0.2257,0.7424,0.1276,,0.3828,13/2/2017 09:00
82609,,0.3016,0.2053,0.6844,0.0232,,,13/2/2017 10:00
82610,,0.2552,0.1516,0.2784,,,,13/2/2017 11:00
82611,,0.2552,0.1411,0.3944,0.058,,,13/2/2017 12:00
82612,,0.2552,0.1295,0.3712,0.0348,,,13/2/2017 13:00
82613,,0.2668,0.1125,0.4408,0.058,,,13/2/2017 14:00
82614,,0.2668,0.1275,0.3944,0.058,,,13/2/2017 15:00
82615,,0.348,0.131,0.4292,0.0928,,,13/2/2017 16:00
82616,,0.58,0.1959,0.6032,0.1972,,2.262,13/2/2017 17:00
