,Centar,GaziBaba,Karpos,Lisice,Miladinovci,Mobile,Rektorat,time
82503,125.964,113.01,224.355,96.58,59.4,,112.87,10/2/2017 00:00
82504,71.9869,74.4099,226.885,58.29,51.18,,62.41,10/2/2017 01:00
82505,63.678,59.5,125.515,47.73,49.1899,,61.08,10/2/2017 02:00
82506,61.1992,57.83,58.8227,45.11,52.29,,59.55,10/2/2017 03:00
82507,57.6771,50.42,57.8938,43.2,47.7,,55.0099,10/2/2017 04:00
82508,52.8385,55.5,59.2603,47.68,53.42,,55.6899,10/2/2017 05:00
82509,47.442,29.27,56.8928,52.6,47.3199,,49.95,10/2/2017 06:00
82510,46.4858,55.55,39.7527,57.2,49.6299,,53.62,10/2/2017 07:00
82511,50.0179,52.5,38.5708,77.7,74.2,,48.6299,10/2/2017 08:00
82512,56.7347,44.09,40.1935,85.23,79.96,,74.6399,10/2/2017 09:00
82513,60.7024,35.55,43.5544,97.2699,76.5699,,68.1299,10/2/2017 10:00
82514,46.8278,35.33,35.3878,41.08,75.36,,54.54,10/2/2017 11:00
82515,44.7538,27.54,32.624,47.39,74.0299,,46.58,10/2/2017 12:00
82516,47.4213,36.05,30.3621,50.6,73.73,,53.27,10/2/2017 13:00
82517,45.8304,32.74,30.5777,48.56,37.24,,44.53,10/2/2017 14:00
82518,43.2606,37.3,27.2308,43.17,28.56,,42.72,10/2/2017 15:00
82519,47.8796,28.89,26.8261,51.7599,28.58,,47.98,10/2/2017 16:00
82520,51.3589,51.53,27.1362,64.4299,29.77,,47.8199,10/2/2017 17:00
82521,44.2336,47.04,26.014,64.3099,31.67,,54.58,10/2/2017 18:00
82522,43.7062,47.68,34.2029,42.09,50.98,,38.02,10/2/2017 19:00
82523,65.4485,36.84,33.2313,41.89,64.3899,,38.47,10/2/2017 20:00
82524,66.4069,36.58,37.5782,52.55,24.26,,47.9,10/2/2017 21:00
82525,69.8091,49.95,44.1991,66.1799,30.74,,48.53,10/2/2017 22:00
82526,56.7559,43.62,38.0815,64.7899,35.5099,,46.78,10/2/2017 23:00
82527,55.2092,34.02,36.8816,68.5599,43.17,,42.21,11/2/2017 00:00
82528,50.6191,38.15,39.0771,61.37,52.99,,49.27,11/2/2017 01:00
82529,47.3062,42.23,35.8683,49.41,40.7,,48.91,11/2/2017 02:00
82530,44.8723,43.45,34.7735,40.6299,42.86,,39.6899,11/2/2017 03:00
82531,43.8339,43.53,33.0317,46.92,47.8199,,41.61,11/2/2017 04:00
82532,43.3797,39.04,34.657,49.8,45.47,,46.6299,11/2/2017 05:00
82533,43.0329,44.75,35.7873,41.71,45.4,,44.74,11/2/2017 06:00
82534,39.875,42.8199,31.8044,48.8199,42.23,,35.52,11/2/2017 07:00
82535,38.0038,30.34,28.9799,54.81,52.4399,,43.22,11/2/2017 08:00
82536,37.7618,11.47,28.416,31.64,39.65,,30.23,11/2/2017 09:00
82537,35.403,1.24,29.0534,19.49,26.09,,29.12,11/2/2017 10:00
82538,37.2854,54.37,28.6559,32.7599,24.18,,43.87,11/2/2017 11:00
82539,37.4481,29.46,26.9616,26.92,28.78,,31.84,11/2/2017 12:00
82540,33.2258,21.44,23.2511,31.42,20.11,,39.58,11/2/2017 13:00
82541,33.696,26.54,21.7796,29.25,26.5,,41.71,11/2/2017 14:00
82542,35.3646,39.84,23.2461,32.39,25.47,,43.84,11/2/2017 15:00
82543,37.0293,35.14,26.4788,35.42,25.5,,51.17,11/2/2017 16:00
82544,46.8975,55.7599,36.0903,63.81,32.35,,52.77,11/2/2017 17:00
82545,72.4763,84.61,63.331,157.98,26.23,,71.3999,11/2/2017 18:00
82546,110.606,80.8799,65.7903,249.98,36.5,,99.7699,11/2/2017 19:00
82547,73.2289,118.81,55.3808,192.05,39.0699,,115.4,11/2/2017 20:00
82548,92.1759,89.58,60.6285,208.81,43.8799,,102.8,11/2/2017 21:00
82549,88.8363,63.74,58.3702,68.0599,50.2599,,53.92,11/2/2017 22:00
82550,63.4083,77.21,55.3867,70.0499,70.9199,,42.98,11/2/2017 23:00
82551,48.5806,23.9,45.4794,25.01,68.87,,40.71,12/2/2017 00:00
82552,45.3235,29.94,40.7699,22.31,66.35,,37.5099,12/2/2017 01:00
82553,45.0551,31.7,41.8788,23.56,48.5,,40.22,12/2/2017 02:00
82554,41.7917,42.06,39.8748,23.94,51.14,,38.8,12/2/2017 03:00
82555,39.5387,44.92,37.2439,26.6,48.0099,,37.78,12/2/2017 04:00
82556,37.2554,39.66,36.0843,37.35,46.43,,32.39,12/2/2017 05:00
82557,36.2719,35.23,35.1697,26.63,52.16,,32.34,12/2/2017 06:00
82558,34.9919,32.27,34.5884,29.06,48.5099,,31.09,12/2/2017 07:00
82559,35.9498,30.06,33.5093,27.26,42.3,,27.01,12/2/2017 08:00
82560,37.5679,20.17,34.5988,31.54,41.23,,32.52,12/2/2017 09:00
82561,35.959,16.68,34.5972,29.9,30.96,,28.74,12/2/2017 10:00
82562,38.5625,17.31,37.2193,31.13,27.46,,31.81,12/2/2017 11:00
82563,42.918,12.77,38.3397,31.68,30.77,,45.3199,12/2/2017 12:00
82564,36.164,34.31,34.3375,35.61,29.63,,39.54,12/2/2017 13:00
82565,36.8865,32.5099,32.2463,38.0099,31.03,,39.6299,12/2/2017 14:00
82566,41.0269,29.71,33.6584,37.4399,35.09,,39.74,12/2/2017 15:00
82567,44.3401,54.23,37.571,51.3199,35.37,,50.85,12/2/2017 16:00
82568,55.1559,56.28,44.7007,65.9099,37.67,,58,12/2/2017 17:00
82569,48.8433,53.5,45.2917,70.1,47.39,,56.23,12/2/2017 18:00
82570,61.2051,48.92,53.5593,69.34,66.97,,57.61,12/2/2017 19:00
82571,63.7549,61.7,53.4048,94.86,54.27,,64.1799,12/2/2017 20:00
82572,59.2295,57.75,48.1115,98.8899,67.0099,,64.9299,12/2/2017 21:00
82573,55.6756,49.1899,46.8292,80.2799,95.7599,,53.93,12/2/2017 22:00
82574,49.1991,48.8799,42.4299,59.67,95.2999,,50.23,12/2/2017 23:00
82575,48.5806,23.9,45.4794,25.01,68.87,,40.71,12/2/2017 00:00
82576,45.3235,29.94,40.7699,22.31,66.35,,37.5099,12/2/2017 01:00
82577,45.0551,31.7,41.8788,23.56,48.5,,40.22,12/2/2017 02:00
82578,41.7917,42.06,39.8748,23.94,51.14,,38.8,12/2/2017 03:00
82579,39.5387,44.92,37.2439,26.6,48.0099,,37.78,12/2/2017 04:00
82580,37.2554,39.66,36.0843,37.35,46.43,,32.39,12/2/2017 05:00
82581,36.2719,35.23,35.1697,26.63,52.16,,32.34,12/2/2017 06:00
82582,34.9919,32.27,34.5884,29.06,48.5099,,31.09,12/2/2017 07:00
82583,35.9498,30.06,33.5093,27.26,42.3,,27.01,12/2/2017 08:00
82584,37.5679,20.17,34.5988,31.54,41.23,,32.52,12/2/2017 09:00
82585,35.959,16.68,34.5972,29.9,30.96,,28.74,12/2/2017 10:00
82586,38.5625,17.31,37.2193,31.13,27.46,,31.81,12/2/2017 11:00
82587,42.918,12.77,38.3397,31.68,30.77,,45.3199,12/2/2017 12:00
82588,36.164,34.31,34.3375,35.61,29.63,,39.54,12/2/2017 13:00
82589,36.8865,32.5099,32.2463,38.0099,31.03,,39.6299,12/2/2017 14:00
82590,41.0269,29.71,33.6584,37.4399,35.09,,39.74,12/2/2017 15:00
82591,44.3401,54.23,37.571,51.3199,35.37,,50.85,12/2/2017 16:00
82592,55.1559,56.28,44.7007,65.9099,37.67,,58,12/2/2017 17:00
82593,48.8433,53.5,45.2917,70.1,47.39,,56.23,12/2/2017 18:00
82594,61.2051,48.92,53.5593,69.34,66.97,,57.61,12/2/2017 19:00
82595,63.7549,61.7,53.4048,94.86,54.27,,64.1799,12/2/2017 20:00
82596,59.2295,57.75,48.1115,98.8899,67.0099,,64.9299,12/2/2017 21:00
82597,55.6756,49.1899,46.8292,80.2799,95.7599,,53.93,12/2/2017 22:00
82598,49.1991,48.8799,42.4299,59.67,95.2999,,50.23,12/2/2017 23:00
82599,48.5706,31.35,41.7679,49.06,99.72,,38.52,13/2/2017 00:00
82600,43.9543,33.3799,38.5309,35.74,63.54,,28.14,13/2/2017 01:00
82601,41.4657,44.35,38.342,28.54,51.7599,,28.51,13/2/2017 02:00
82602,39.1219,39.67,37.7314,28.31,46.98,,42.65,13/2/2017 03:00
82603,38.6573,39.7599,39.4501,49.64,37.91,,40.24,13/2/2017 04:00
82604,38.1169,41.98,39.3813,44.71,37.65,,35.66,13/2/2017 05:00
82605,34.988,38.5,36.2062,30,36.3799,,33.37,13/2/2017 06:00
82606,33.8694,39.21,36.4037,30.71,37.8199,,40.58,13/2/2017 07:00
82607,40.1028,33.27,48.4796,42.5699,53.16,,39.81,13/2/2017 08:00
82608,47.0659,33.79,43.3829,54.72,54.64,,46.54,13/2/2017 09:00
82609,49.3441,18.07,43.8177,48.1899,38.86,,,13/2/2017 10:00
82610,48.4675,21.46,39.655,41.1,34.84,,,13/2/2017 11:00
82611,40.9722,12.55,35.8246,32.5099,36.42,,,13/2/2017 12:00
82612,41.881,25.82,38.2642,31.36,47.24,,,13/2/2017 13:00
82613,42.3408,13.8,36.2949,30.36,42.14,,,13/2/2017 14:00
82614,44.6754,34.65,43.3951,38.46,48.99,,,13/2/2017 15:00
82615,49.0334,70.35,48.5069,46.55,61.99,,,13/2/2017 16:00
82616,58.951,109.65,58.1366,57.37,64.5199,,43.99,13/2/2017 17:00
82617,75.1343,117.55,82.3656,76.36,90.2,,89.4299,13/2/2017 18:00
82618,63.7236,136.34,69.3713,103,115.85,,129.97,13/2/2017 19:00
82619,74.989,145.22,87.1421,127.01,62.74,,131.37,13/2/2017 20:00
82620,61.2037,177.82,63.424,147.8,68.0599,,119.65,13/2/2017 21:00
82621,46.8047,74.34,55.5645,45.33,85.3199,,80.84,13/2/2017 22:00
82622,45.0782,55.7599,46.7439,56.04,84.87,,72.85,13/2/2017 23:00
82623,47.6708,79.6499,51.167,60.59,83.2699,,76.75,14/2/2017 00:00
82624,44.4111,103.75,49.876,51.92,54.89,,66.6299,14/2/2017 01:00
82625,44.0388,82.11,50.8177,56.6899,54.6,,63.67,14/2/2017 02:00
82626,44.0612,56.46,50.7875,42.04,50.31,,55.98,14/2/2017 03:00
82627,42.3076,78.5499,48.9288,42.5699,54.6899,,70.45,14/2/2017 04:00
82628,47.1147,62.65,52.439,32.0699,58.84,,54.8199,14/2/2017 05:00
82629,47.4232,55.95,56.6357,41.4399,58.53,,49.6899,14/2/2017 06:00
82630,54.9078,52.83,60.313,54.47,73.0499,,56.4,14/2/2017 07:00
82631,59.5396,26.41,67.178,54.53,91.47,,87.83,14/2/2017 08:00
82632,55.936,34.16,57.724,59.6299,66.6799,,97.98,14/2/2017 09:00
82633,42.2532,7.65,44.4803,42.59,84.97,,71.4199,14/2/2017 10:00
82634,36.6852,39.79,36.9847,51.5,66.22,,70.6799,14/2/2017 11:00
82635,35.8923,31.27,34.1468,34.02,65.2699,,64.0499,14/2/2017 12:00
82636,37.6755,17.82,35.2223,25.84,61.12,,78.75,14/2/2017 13:00
82637,38.3163,20.83,29.2648,31.35,64.2599,,55.48,14/2/2017 14:00
82638,34.2165,54.5,26.5419,51.09,73.59,,56.31,14/2/2017 15:00
82639,36.6247,31.95,31.0482,50.39,74.5499,,69.71,14/2/2017 16:00
82640,55.2429,126.51,48.6857,61.96,93.62,,109.14,14/2/2017 17:00
82641,57.3885,198.72,61.1422,80.99,138.04,,120.1,14/2/2017 18:00
82642,64.9188,143.16,78.1766,79.22,118.28,,111.58,14/2/2017 19:00
82643,96.8094,145.23,106.65,123.25,118.93,,130.1,14/2/2017 20:00
82644,76.611,97.4199,185.21,85.9399,138.57,,96.7699,14/2/2017 21:00
82645,147.648,73.85,176.358,76.6599,112.06,,99.34,14/2/2017 22:00
82646,143.105,115.42,145.101,136.43,75.22,,202.66,14/2/2017 23:00
82647,138.798,217.14,254.052,184.83,61.11,,213.06,15/2/2017 00:00
82648,143.701,173.19,179.322,197.17,72.98,,256.02,15/2/2017 01:00
82649,141.313,221.27,95.6696,213.27,79.85,,201.48,15/2/2017 02:00
82650,132.693,172.94,91.6836,202.64,78.5599,,144.71,15/2/2017 03:00
82651,128.069,171.37,89.8917,147.07,85.1499,,176.75,15/2/2017 04:00
82652,111.4,150.44,93.4755,163.28,80.6299,,177.28,15/2/2017 05:00
82653,89.4115,115.64,100.708,173.47,84.49,,132.99,15/2/2017 06:00
82654,82.9308,105.57,118.002,159,103.43,,104.39,15/2/2017 07:00
82655,84.6158,54,114.965,163.68,138.83,,111.13,15/2/2017 08:00
82656,87.4436,11.78,107.365,131.76,113.48,,111.7,15/2/2017 09:00
82657,94.443,46.8,105.516,94.3999,133.78,,132.57,15/2/2017 10:00
82658,98.3032,86.35,91.7446,92.72,113.28,,81.37,15/2/2017 11:00
82659,84.6014,100.92,79.9005,72.8799,88.62,,88.6599,15/2/2017 12:00
82660,76.1138,89.3899,59.9537,57.68,103.16,,88.1799,15/2/2017 13:00
82661,65.3615,47.2,49.5047,54.25,87.47,,76.96,15/2/2017 14:00
82662,61.2057,83.11,41.3459,50.83,95.49,,77.84,15/2/2017 15:00
82663,61.6601,56.28,49.2449,60.83,95.35,,76.9099,15/2/2017 16:00
82664,71.9526,137.61,52.4806,70.59,112.12,,96.7899,15/2/2017 17:00
82665,86.705,157.08,72.9792,109.92,105.75,,122.4,15/2/2017 18:00
82666,111.729,128.7,157.85,89.0599,62.99,,81.2799,15/2/2017 19:00
82667,148.792,93.1599,243.774,78.1,66.3099,,73.59,15/2/2017 20:00
82668,173.395,72.12,244.612,63.67,68.86,,99.22,15/2/2017 21:00
82669,188.669,113.18,205.069,70.5499,72.84,,234.73,15/2/2017 22:00
82670,180.839,90.35,215.626,65.75,84.6299,,154.63,15/2/2017 23:00
82671,164.879,175.78,226.258,64.62,79.8799,,221.77,16/2/2017 00:00
82672,132.419,221.51,176.708,138.36,69.1399,,213.97,16/2/2017 01:00
82673,137.72,173.41,135.568,166.02,71.08,,189.79,16/2/2017 02:00
82674,109.615,151.91,109.242,154.05,72.4399,,135.88,16/2/2017 03:00
82675,98.8011,134.29,102.878,121.16,83.71,,110.41,16/2/2017 04:00
82676,87.9294,117.53,104.246,112.23,99.3199,,117.89,16/2/2017 05:00
82677,95.3733,100.18,119.749,125.22,147.29,,111.49,16/2/2017 06:00
82678,95.4054,105.16,115.309,123.81,142.12,,145.4,16/2/2017 07:00
82679,98.4585,83.9399,166.284,175.97,181.89,,117.94,16/2/2017 08:00
82680,95.6498,56.21,138.124,185.18,133.32,,127.29,16/2/2017 09:00
82681,111.989,122.87,101.28,163.91,137.47,,125.64,16/2/2017 10:00
82682,119.873,176.76,97.5846,142.02,138.12,,144.39,16/2/2017 11:00
82683,86.5725,130.76,99.5077,75.62,119.74,,130.16,16/2/2017 12:00
82684,70.974,67.1899,60.5717,37.71,98.7899,,85.0099,16/2/2017 13:00
82685,55.2587,40.89,52.04,31.53,106.95,,67.3799,16/2/2017 14:00
82686,50.1964,62.1299,39.9114,29.25,85.4099,,48.97,16/2/2017 15:00
82687,,33.6299,36.6269,42.3799,66.11,,52.5099,16/2/2017 16:00
82688,,107.59,56.4446,58.3799,46.34,,86.25,16/2/2017 17:00
82689,,163.47,106.743,174.37,91.6899,,197.66,16/2/2017 18:00
82690,,165.05,206.165,208.94,203.38,,382.49,16/2/2017 19:00
82691,,269.68,236.275,253.13,187.82,,296.79,16/2/2017 20:00
82692,,247.5,229.088,387.44,156.86,,236.64,16/2/2017 21:00
82693,,206.96,212.138,343.95,187.07,,269.61,16/2/2017 22:00
82694,,258.14,208.556,331.41,149.65,,193.61,16/2/2017 23:00
82695,,213.07,149.605,284.42,126,,210.67,17/2/2017 00:00
82696,,130.8,145.299,229.32,88.21,,198.26,17/2/2017 01:00
82697,,164.51,119.309,210.96,78.35,,139.63,17/2/2017 02:00
82698,,114.24,109.316,159.16,72.49,,125.77,17/2/2017 03:00
82699,,94.5099,94.8673,149.26,70.09,,113.47,17/2/2017 04:00
82700,,75,81.1111,127.49,59.2599,,87.36,17/2/2017 05:00
82701,,86.99,93.0048,109.97,58.95,,93.3199,17/2/2017 06:00
82702,,109.09,107.277,151.14,87.5299,,114.3,17/2/2017 07:00
82703,,158.59,107.6,172.92,93.1599,,173.35,17/2/2017 08:00
82704,,88.34,147.308,205.2,132.66,,156.66,17/2/2017 09:00
82705,116.715,114.5,107.628,187.81,169.87,,121.18,17/2/2017 10:00
82706,82.9518,52.0699,71.8203,83.5299,148.92,,60.08,17/2/2017 11:00
82707,88.9022,30.41,76.016,35.36,80.24,,52.52,17/2/2017 12:00
82708,90.0833,68.6299,77.2007,48.46,68.96,,103.42,17/2/2017 13:00
82709,91.2607,104.82,71.9406,55.4399,69.1699,,103.26,17/2/2017 14:00
82710,93.0355,122.85,73.8745,58.64,73.0199,,113.1,17/2/2017 15:00
82711,96.5298,155.92,95.2633,87.7999,81.6,,118.06,17/2/2017 16:00
82712,99.3782,94.74,110.055,87.0599,115.38,,147.42,17/2/2017 17:00
82713,103.368,218.3,143.332,124.07,140.87,,202.4,17/2/2017 18:00
82714,110.171,300.48,202.425,272.4,220.92,,270.39,17/2/2017 19:00
82715,181.339,337.62,229.429,323.82,263.11,,313.79,17/2/2017 20:00
82716,201.082,231,210.125,372.75,187.83,,212.99,17/2/2017 21:00
82717,189.156,233.42,252.83,387.59,168.36,,236.06,17/2/2017 22:00
82718,202.345,348.7,253.568,389.81,164.12,,191.81,17/2/2017 23:00
82719,172.072,237.82,176.959,306.47,156.44,,222.09,18/2/2017 00:00
82720,161.511,158.15,143.389,271.27,134.66,,189.39,18/2/2017 01:00
82721,138.824,177.82,127.194,250.98,115.31,,165.54,18/2/2017 02:00
82722,118.887,147.31,138.131,195,114.46,,135.62,18/2/2017 03:00
82723,116.923,139.46,115.324,197.26,98.7899,,117.51,18/2/2017 04:00
82724,108.924,113.66,122.581,195.59,98.7,,120.71,18/2/2017 05:00
82725,129.777,185.98,129.341,173.57,91.2699,,189.06,18/2/2017 06:00
82726,179.664,165.82,103.016,138.46,100.69,,161.44,18/2/2017 07:00
82727,118.287,107.18,141.094,149.33,119.33,,127.98,18/2/2017 08:00
82728,114.371,92.6699,128.863,161.68,78.84,,122.57,18/2/2017 09:00
82729,144.434,181.23,101.026,169.28,102.7,,150.71,18/2/2017 10:00
82730,154.999,184.03,114.794,140.3,120.72,,154.32,18/2/2017 11:00
82731,97.8212,114.62,113.254,80.7899,110.45,,110.65,18/2/2017 12:00
82732,77.5343,77.3799,79.8414,63.5099,100.65,,94.4199,18/2/2017 13:00
